tanggal,kurs_jisdor,pct_change,target
2022-06-22,14860,0.3782761415833668,TURUN
2022-06-23,14835,-0.1682368775235532,STABIL
2022-06-24,14846,0.0741489720256227,TURUN
2022-06-27,14802,-0.296376128250031,NAIK
2022-06-28,14837,0.236454533171182,STABIL
2022-06-29,14848,0.0741389768821099,NAIK
2022-06-30,14882,0.2289870689655249,NAIK
2022-07-01,14956,0.4972449939524281,STABIL
2022-07-04,14960,0.0267451190157697,NAIK
2022-07-05,14990,0.200534759358284,NAIK
2022-07-06,15015,0.1667778519012674,TURUN
2022-07-07,14986,-0.1931401931401954,STABIL
2022-07-08,14981,-0.0333644735086124,STABIL
2022-07-11,14969,-0.0801014618516782,NAIK
2022-07-12,14993,0.1603313514596749,STABIL
2022-07-13,14985,-0.0533582338424598,STABIL
2022-07-14,14999,0.0934267600934291,STABIL
2022-07-15,14999,0.0,STABIL
2022-07-18,14986,-0.0866724448296607,STABIL
2022-07-19,14992,0.0400373682103216,STABIL
2022-07-20,14984,-0.0533617929562413,NAIK
2022-07-21,15017,0.2202349172450546,STABIL
2022-07-22,15024,0.0466138376506553,TURUN
2022-07-25,14992,-0.2129925452609149,STABIL
2022-07-26,14984,-0.0533617929562413,NAIK
2022-07-27,15020,0.2402562733582414,TURUN
2022-07-28,14958,-0.4127829560585883,TURUN
2022-07-29,14860,-0.6551678031822439,STABIL
2022-08-01,14874,0.0942126514131835,STABIL
2022-08-02,14888,0.0941239747209943,NAIK
2022-08-03,14917,0.194787748522307,STABIL
2022-08-04,14929,0.0804451297177655,TURUN
2022-08-05,14904,-0.1674593073883068,STABIL
2022-08-08,14915,0.0738056897477079,TURUN
2022-08-09,14862,-0.3553469661414676,STABIL
2022-08-10,14875,0.0874714035796087,TURUN
2022-08-11,14799,-0.5109243697479005,TURUN
2022-08-12,14688,-0.750050679099934,NAIK
2022-08-15,14727,0.2655228758170036,NAIK
2022-08-16,14767,0.2716099680858397,NAIK
2022-08-18,14822,0.3724520891176253,NAIK
2022-08-19,14858,0.2428822021319554,NAIK
2022-08-22,14882,0.1615291425494769,STABIL
2022-08-23,14893,0.0739147963983333,TURUN
2022-08-24,14851,-0.2820116833411656,TURUN
2022-08-25,14827,-0.1616052791057809,STABIL
2022-08-26,14814,-0.0876778849396409,NAIK
2022-08-29,14887,0.4927771027406491,STABIL
2022-08-30,14875,-0.0806072412171676,TURUN
2022-08-31,14853,-0.1478991596638668,NAIK
2022-09-01,14884,0.2087120447047841,NAIK
2022-09-02,14900,0.1074979844127854,NAIK
2022-09-05,14920,0.1342281879194606,TURUN
2022-09-06,14885,-0.2345844504021421,NAIK
2022-09-07,14927,0.2821632515955574,TURUN
2022-09-08,14905,-0.1473839351510686,TURUN
2022-09-09,14846,-0.3958403220395867,STABIL
2022-09-12,14839,-0.047150747676139,NAIK
2022-09-13,14861,0.148257968865817,NAIK
2022-09-14,14923,0.4171993809299446,TURUN
2022-09-15,14899,-0.1608255712658324,NAIK
2022-09-16,14939,0.2684743942546586,NAIK
2022-09-19,14980,0.2744494276725406,STABIL
2022-09-20,14975,-0.0333778371161552,NAIK
2022-09-21,15011,0.2404006677796388,NAIK
2022-09-22,15033,0.1465591899273866,STABIL
2022-09-23,15035,0.0133040643916615,NAIK
2022-09-26,15119,0.558696375124712,NAIK
2022-09-27,15155,0.238110986176343,NAIK
2022-09-28,15243,0.5806664467172595,STABIL
2022-09-29,15247,0.0262415534999727,STABIL
2022-09-30,15232,-0.0983800091821307,NAIK
2022-10-03,15293,0.4004726890756371,TURUN
2022-10-04,15276,-0.1111619695285393,TURUN
2022-10-05,15196,-0.523697302958892,STABIL
2022-10-06,15197,0.0065806791260891,NAIK
2022-10-07,15246,0.3224320589590101,NAIK
2022-10-10,15299,0.3476321658139936,NAIK
2022-10-11,15362,0.4117916203673522,STABIL
2022-10-12,15373,0.0716052597317995,TURUN
2022-10-13,15357,-0.1040785793273935,NAIK
2022-10-14,15390,0.2148857198671638,NAIK
2022-10-17,15480,0.5847953216374213,STABIL
2022-10-18,15469,-0.0710594315245449,NAIK
2022-10-19,15491,0.1422199237184118,NAIK
2022-10-20,15579,0.5680717836162863,NAIK
2022-10-21,15610,0.1989858142371181,TURUN
2022-10-24,15590,-0.1281229980781506,NAIK
2022-10-25,15616,0.1667735728030805,TURUN
2022-10-26,15596,-0.1280737704917989,TURUN
2022-10-27,15573,-0.1474737112080015,TURUN
2022-10-28,15542,-0.1990624799332208,NAIK
2022-10-31,15596,0.3474456311928886,NAIK
2022-11-01,15647,0.3270069248525242,STABIL
2022-11-02,15652,0.0319550073496488,NAIK
2022-11-03,15681,0.1852798364426311,NAIK
2022-11-04,15736,0.3507429373126758,TURUN
2022-11-07,15692,-0.2796136248093495,STABIL
2022-11-08,15684,-0.0509813917919932,TURUN
2022-11-09,15654,-0.191277735271611,NAIK
2022-11-10,15701,0.3002427494570137,TURUN
2022-11-11,15493,-1.3247563849436372,STABIL
2022-11-14,15499,0.0387271671077327,NAIK
2022-11-15,15564,0.4193818956061745,NAIK
2022-11-16,15610,0.295553842199947,NAIK
2022-11-17,15687,0.4932735426008916,STABIL
2022-11-18,15692,0.0318735258494351,STABIL
2022-11-21,15707,0.0955901096099998,STABIL
2022-11-22,15716,0.0572992933087102,TURUN
2022-11-23,15700,-0.1018070755917532,TURUN
2022-11-24,15647,-0.3375796178343937,NAIK
2022-11-25,15668,0.1342110308685473,NAIK
2022-11-28,15729,0.3893285677814662,STABIL
2022-11-29,15737,0.050861466081753,STABIL
2022-11-30,15742,0.0317722564656453,TURUN
2022-12-01,15617,-0.7940541227290043,TURUN
2022-12-02,15429,-1.2038163539732305,TURUN
2022-12-05,15409,-0.1296260289066042,NAIK
2022-12-06,15576,1.083782205204753,NAIK
2022-12-07,15619,0.2760657421674306,STABIL
2022-12-08,15624,0.0320122927204069,TURUN
2022-12-09,15587,-0.2368151561699893,NAIK
2022-12-12,15642,0.3528581510232831,NAIK
2022-12-13,15661,0.1214678429868332,TURUN
2022-12-14,15619,-0.2681821084221991,STABIL
2022-12-15,15630,0.0704270439848997,STABIL
2022-12-16,15617,-0.0831733845169546,STABIL
2022-12-19,15621,0.0256131139143134,STABIL
2022-12-20,15608,-0.0832213046539909,STABIL
2022-12-21,15601,-0.0448487954894938,STABIL
2022-12-22,15594,-0.0448689186590578,STABIL
2022-12-23,15605,0.0705399512633153,NAIK
2022-12-26,15636,0.1986542774751631,NAIK
2022-12-27,15659,0.1470964441033562,NAIK
2022-12-28,15703,0.2809885688741298,NAIK
2022-12-29,15731,0.178309877093552,TURUN
2022-12-30,15592,-0.8836056194774677,TURUN
2023-01-02,15572,-0.1282709081580346,NAIK
2023-01-03,15590,0.1155920883637362,NAIK
2023-01-04,15615,0.1603592046183433,STABIL
2023-01-05,15610,-0.032020493115592,NAIK
2023-01-06,15635,0.1601537475977021,TURUN
2023-01-09,15574,-0.3901503038055698,STABIL
2023-01-10,15589,0.0963143701040225,TURUN
2023-01-11,15527,-0.3977163384437765,TURUN
2023-01-12,15366,-1.036903458491656,TURUN
2023-01-13,15177,-1.2299882858258449,TURUN
2023-01-16,15019,-1.0410489556565872,NAIK
2023-01-17,15154,0.8988614421732377,TURUN
2023-01-18,15137,-0.1121816022172317,TURUN
2023-01-19,15113,-0.1585518927132212,STABIL
2023-01-20,15121,0.0529345596506303,TURUN
2023-01-24,14930,-1.263143971959524,NAIK
2023-01-25,14958,0.1875418620227664,STABIL
2023-01-26,14964,0.0401123144805559,STABIL
2023-01-27,14978,0.0935578722266683,STABIL
2023-01-30,14979,0.006676458806254,STABIL
2023-01-31,14992,0.0867881701048123,STABIL
2023-02-01,14991,-0.0066702241195315,TURUN
2023-02-02,14868,-0.8204922953772287,NAIK
2023-02-03,14898,0.20177562550443,NAIK
2023-02-06,15055,1.0538327292253902,NAIK
2023-02-07,15139,0.5579541680504896,TURUN
2023-02-08,15122,-0.1122927538146467,STABIL
2023-02-09,15120,-0.0132257637878607,NAIK
2023-02-10,15140,0.1322751322751392,NAIK
2023-02-13,15216,0.5019815059445154,TURUN
2023-02-14,15168,-0.3154574132492094,NAIK
2023-02-15,15194,0.1714135021096963,TURUN
2023-02-16,15176,-0.1184678162432506,NAIK
2023-02-17,15199,0.1515550869794379,TURUN
2023-02-20,15168,-0.2039607868938753,STABIL
2023-02-21,15179,0.0725210970464074,NAIK
2023-02-22,15218,0.2569339218657429,TURUN
2023-02-23,15187,-0.2037061374687843,NAIK
2023-02-24,15216,0.1909527885691764,NAIK
2023-02-27,15274,0.3811777076761391,TURUN
2023-02-28,15240,-0.2226004975775852,STABIL
2023-03-01,15250,0.0656167979002697,NAIK
2023-03-02,15273,0.1508196721311527,NAIK
2023-03-03,15306,0.2160675702219672,STABIL
2023-03-06,15301,-0.0326669280020897,NAIK
2023-03-07,15359,0.3790601921443093,NAIK
2023-03-08,15451,0.5989973305553731,STABIL
2023-03-09,15438,-0.0841369490647836,NAIK
2023-03-10,15468,0.1943256898562007,TURUN
2023-03-13,15374,-0.6077062322213611,STABIL
2023-03-14,15380,0.0390269285807098,STABIL
2023-03-15,15365,-0.0975292587776288,NAIK
2023-03-16,15418,0.3449397982427493,TURUN
2023-03-17,15364,-0.3502399792450372,STABIL
2023-03-20,15372,0.052069773496477,TURUN
2023-03-21,15349,-0.1496226906062991,TURUN
2023-03-24,15189,-1.0424131865268138,STABIL
2023-03-27,15174,-0.098755678451512,TURUN
2023-03-28,15088,-0.5667589297482567,STABIL
2023-03-29,15094,0.0397667020148428,TURUN
2023-03-30,15062,-0.2120047701073324,TURUN
